web_scraper_order,web_scraper_start_url,category,category_href,category_name,category_description,category_emoji_item,category_emoji_item_href,emoji,emoji_name,emoji_description
"1573513671-1521","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👨‍👩‍👧‍👦 Family: Man, Woman, Girl, Boy","https://emojipedia.org/family-man-woman-girl-boy/","👨‍👩‍👧‍👦","‍👩‍👧‍👦 Family: Man, Woman, Girl, Boy","A family with a father, mother, daughter, and son.
The Family: Man, Woman, Girl, Boy emoji is a sequence of the 👨 Man, 👩 Woman, 👧 Girl and 👦 Boy emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Family: Man, Woman, Girl, Boy was added to Emoji 2.0 in 2015."
"1573498785-853","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","💸 Money With Wings","https://emojipedia.org/money-with-wings/","💸","Money With Wings","A banded stack of U.S. dollar bills with feather wings, as if flying. Its flight may represent losing, transferring, or earning money, but commonly used for wealth, money, and success more generally, often with a flourish or sense of flair.

Money With Wings was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573486631-361","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇳🇦 Flag: Namibia","https://emojipedia.org/flag-for-namibia/","🇳🇦","🇦 Flag: Namibia","The flag for Namibia, which may show as the letters NA on some platforms.
The Flag: Namibia emoji is a sequence of the 🇳 Regional Indicator Symbol Letter N and 🇦 Regional Indicator Symbol Letter A emojis.
These display as a single emoji on supported platforms.

Flag: Namibia was added to Emoji 1.0 in 2015."
"1573517732-1839","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😁 Beaming Face With Smiling Eyes","https://emojipedia.org/grinning-face-with-smiling-eyes/","😁","Beaming Face With Smiling Eyes","A yellow face with smiling eyes and full-toothed grin, as if saying Cheese! for the camera. Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud.
Prior to 2017, Apple's design resembled its 😬 Grimacing Face.

Beaming Face With Smiling Eyes was approved as part of Unicode 6.0 in 2010
under the name “Grinning Face With Smiling Eyes”
and added to Emoji 1.0 in 2015."
"1573501396-953","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","💌 Love Letter","https://emojipedia.org/love-letter/","💌","Love Letter","The back of an envelope, generally shown in white and sealed with a red heart. Represents a love letter or note, valentine, or affectionate greeting card. Commonly used to convey various feelings or messages of love and happiness.
Microsoft’s envelope is open, Facebook’s is pink.

Love Letter was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573487278-386","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇱🇻 Flag: Latvia","https://emojipedia.org/flag-for-latvia/","🇱🇻","🇻 Flag: Latvia","The flag for Latvia, which may show as the letters LV on some platforms.
The Flag: Latvia emoji is a sequence of the 🇱 Regional Indicator Symbol Letter L and 🇻 Regional Indicator Symbol Letter V emojis.
These display as a single emoji on supported platforms.

Flag: Latvia was added to Emoji 1.0 in 2015."
"1573512812-1454","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","💫 Dizzy","https://emojipedia.org/dizzy-symbol/","💫","Dizzy","A cartoon-styled representation of dizziness. Generally depicted as one or more yellow stars swirling in a yellow or blue circle.
Resembles squeans, stylized stars and circles over the heads of characters in comics and animation to show they are dizzy, disoriented, intoxicated, or sick.
Commonly used for emphasis and flair or to indicate various positive sentiments. Like 🌠 Shooting Star, sometimes used as a visual reference to NBC’s More You Know public service announcement, popular in the 1990s and featuring a shooting star logo.
Not to be confused with ⭐ Star, 🌟 Glowing Star, and ✨ Sparkles, though their applications may overlap.
Facebook’s design features two stars spinning along two intersecting purple circles, though it previously only featured one yellow ring. Samsung’s design previously displayed several yellow circles and stars.

Dizzy was approved as part of Unicode 6.0 in 2010
under the name “Dizzy Symbol”
and added to Emoji 1.0 in 2015."
"1573490788-490","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇦🇸 Flag: American Samoa","https://emojipedia.org/flag-for-american-samoa/","🇦🇸","🇸 Flag: American Samoa","The flag for American Samoa, which may show as the letters AS on some platforms.
The Flag: American Samoa emoji is a sequence of the 🇦 Regional Indicator Symbol Letter A and 🇸 Regional Indicator Symbol Letter S emojis.
These display as a single emoji on supported platforms.

Flag: American Samoa was added to Emoji 1.0 in 2015."
"1573517080-1705","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤲 Palms Up Together","https://emojipedia.org/palms-up-together/","🤲","Palms Up Together","Two hands held out together with open palms facing up, in a slightly cupped manner.
May be used to represent an open book in American Sign Language (ASL), or the gesture used by followers of Islam when praying. This gesture also appears similarly to one used to beg for for money.

Palms Up Together was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
"1573516840-1641","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤷 Person Shrugging","https://emojipedia.org/shrug/","🤷","Person Shrugging","A person shrugging their shoulders to indicate a lack of knowledge about a particular topic, or a lack of care about the result of a situation.
Displays as raised shoulders, sometimes in conjunction with raised arms and flat hands. The shrug gesture in text (emoticon) form is known as a shruggie and typed as: ¯\_(ツ)_/¯
The Unicode character Shrug (""Person Shrugging"") does not specify a gender though is displayed as a woman on most major platforms. See also Woman Shrugging or Man Shrugging.

Person Shrugging was approved as part of Unicode 9.0 in 2016
under the name “Shrug”
and added to Emoji 3.0 in 2016."
"1573492835-561","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🅰 A Button (Blood Type)","https://emojipedia.org/negative-squared-latin-capital-letter-a/","🅰️","️ A Button (Blood Type)","A symbol representing Blood Type A. Displayed as the letter A on a red background.

A Button (Blood Type) was approved as part of Unicode 6.0 in 2010
under the name “Negative Squared Latin Capital Letter A”
and added to Emoji 1.0 in 2015."
"1573517567-1799","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😪 Sleepy Face","https://emojipedia.org/sleepy-face/","😪","Sleepy Face","A yellow face with closed eyes, mouth slightly open, and a blue snot bubble coming from its nose. Snot bubbles indicate a character is tired or sleeping in anime or manga. Not to be confused with 😴 Sleeping Face 
While sometimes used to convey sadness, dissastification, or illness, Sleepy Face is also not to be confused with 😢 Crying Face, 😥 Sad but Relieved Face, or other emojis with tear or sweat droplets. Samsung’s design previously featured two, cartoon-styled, sleeping-symbol Zz’s overhead.

Sleepy Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
