web_scraper_order,web_scraper_start_url,category,category_href,category_emoji_character,category_name,category_description,category_emoji_item,category_emoji_item_href,emoji_character,emoji_name,emoji_description,emoji_name_aliases,emoji_apple_name,emoji_unicode_name,emoji_codepoints,emoji_shortcodes,emoji_references
"1573612926-1995","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤚 Raised Back of Hand","https://emojipedia.org/raised-back-of-hand/","🤚","Raised Back of Hand","A raised hand, showing the reverse side of the palm. May be paired with the forward-facing raised hand emoji.

Raised Back of Hand was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.","🤚 Backhand","Back of Hand","null","U+1F91A","null","🖂 Back of Envelope
🙋 Person Raising Hand
🧴 Lotion Bottle
🙌 Raising Hands
✊ Raised Fist
✋ Raised Hand
🖑 Reversed Raised Hand with Fingers Splayed
👆 Backhand Index Pointing Up"
"1573609811-604","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇲🇴 Flag: Macao Sar China","https://emojipedia.org/flag-for-macau/","🇲🇴","Flag: Macao Sar China","The flag for Macau, which may show as the letters MO on some platforms.
The Flag: Macao Sar China emoji is a sequence of the 🇲 Regional Indicator Symbol Letter M and 🇴 Regional Indicator Symbol Letter O emojis.
These display as a single emoji on supported platforms.

Flag: Macao Sar China was added to Emoji 1.0 in 2015.","🇲🇴 Macanese Flag","Flag of Macau Sar China","Flag: Macao SAR China","U+1F1F2","null","🇲🇴 on Instagram
🇲🇴 on Twitter
🇲🇴 on Wikipedia
🇲🇴 on Yelp
🇲🇴 on YouTube
🇲🇴 on Google Trends
🇲🇴 on Nomad List"
"1573612330-1719","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","💫 Dizzy","https://emojipedia.org/dizzy-symbol/","💫","Dizzy","A cartoon-styled representation of dizziness. Generally depicted as one or more yellow stars swirling in a yellow or blue circle.
Resembles squeans, stylized stars and circles over the heads of characters in comics and animation to show they are dizzy, disoriented, intoxicated, or sick.
Commonly used for emphasis and flair or to indicate various positive sentiments. Like 🌠 Shooting Star, sometimes used as a visual reference to NBC’s More You Know public service announcement, popular in the 1990s and featuring a shooting star logo.
Not to be confused with ⭐ Star, 🌟 Glowing Star, and ✨ Sparkles, though their applications may overlap.
Facebook’s design features two stars spinning along two intersecting purple circles, though it previously only featured one yellow ring. Samsung’s design previously displayed several yellow circles and stars.

Dizzy was approved as part of Unicode 6.0 in 2010
under the name “Dizzy Symbol”
and added to Emoji 1.0 in 2015.","💫 Circle And Star
💫 Dizzy","Dizzy Symbol","Dizzy Symbol","U+1F4AB",":dizzy:","💢 Anger Symbol
🐦 Bird
💥 Collision
☄ Comet
😵 Dizzy Face
✴ Eight-Pointed Star
🎇 Sparkler
🎆 Fireworks
🌟 Glowing Star
⚡ High Voltage
🕳 Hole
߷ NKo Symbol Gbakurunen
🌃 Night With Stars
🗯 Right Anger Bubble
🌠 Shooting Star
🔯 Dotted Six-Pointed Star
✨ Sparkles
💖 Sparkling Heart
⭐ Star"
"1573612761-1921","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🙆 Person Gesturing OK","https://emojipedia.org/face-with-ok-gesture/","🙆","Person Gesturing OK","A person with arms above her or his head, making an ‘OK’ sign (circle) with the whole body. No gender is specified, but this emoji is generally shown as a woman.
Previously displayed as an alien or blob on Android, and a man on Windows.

Person Gesturing OK was approved as part of Unicode 6.0 in 2010
under the name “Face With OK Gesture”
and added to Emoji 1.0 in 2015.","🙆 Ballerina
🙆 Hands On Head","Woman Gesturing OK","Face With OK Gesture","U+1F646",":ok_woman:","🙆 Person Gesturing OK


🙆🏻 Person Gesturing OK: Light Skin Tone


🙆🏼 Person Gesturing OK: Medium-Light Skin Tone


🙆🏽 Person Gesturing OK: Medium Skin Tone


🙆🏾 Person Gesturing OK: Medium-Dark Skin Tone


🙆🏿 Person Gesturing OK: Dark Skin Tone


🙆‍♂️ Man Gesturing OK


🙆🏻‍♂️ Man Gesturing OK: Light Skin Tone


🙆🏼‍♂️ Man Gesturing OK: Medium-Light Skin Tone


🙆🏽‍♂️ Man Gesturing OK: Medium Skin Tone


🙆🏾‍♂️ Man Gesturing OK: Medium-Dark Skin Tone


🙆🏿‍♂️ Man Gesturing OK: Dark Skin Tone


🙆‍♀️ Woman Gesturing OK


🙆🏻‍♀️ Woman Gesturing OK: Light Skin Tone


🙆🏼‍♀️ Woman Gesturing OK: Medium-Light Skin Tone


🙆🏽‍♀️ Woman Gesturing OK: Medium Skin Tone


🙆🏾‍♀️ Woman Gesturing OK: Medium-Dark Skin Tone


🙆🏿‍♀️ Woman Gesturing OK: Dark Skin Tone"
"1573611623-1409","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","⚽","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🤸‍♂️ Man Cartwheeling","https://emojipedia.org/man-doing-cartwheel/","🤸‍♂️","Man Cartwheeling","The Man Cartwheeling emoji is a sequence of the 🤸 Person Doing Cartwheel and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Cartwheeling was added to Emoji 4.0 in 2016.","null","Man Doing Cartwheel","null","U+1F938","null","🚯 No Littering
👨 Man
🕺 Man Dancing
👳 Person Wearing Turban
🤵 Man in Tuxedo
👞 Man’s Shoe
👴 Old Man
🤸 Person Cartwheeling"
"1573612600-1844","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🦸‍♂️ Man Superhero","https://emojipedia.org/man-superhero/","🦸‍♂️","Man Superhero","The Man Superhero emoji is a sequence of the 🦸 Superhero and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Superhero was added to Emoji 11.0 in 2018.","null","Man Superhero","null","U+1F9B8","null","🎱 Pool 8 Ball
🧈 Butter
👨 Man
🕺 Man Dancing
👞 Man’s Shoe
🦸 Superhero
🦹 Supervillain
🦸‍♀️ Woman Superhero"
"1573611116-1174","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🎚 Level Slider","https://emojipedia.org/level-slider/","🎚️","Level Slider","A level slider, as adjusts volume on a mixing console. Most platforms depict a silver and black channel fader with scale markings, set to various levels.
Commonly used for various content concerning audio recording and production as well as music more generally. May also be used for figurative senses of level, e.g., next level.
Thanks to its appearance, some may use the emoji to represent a Christian cross.

Level Slider was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.","null","Level Slider","null","U+1F39A","null","🎚️ on Instagram
🎚️ on Twitter
🎚️ on Wikipedia
🎚️ on Yelp
🎚️ on YouTube
🎚️ on Google Trends
🎚️ on Nomad List"
"1573612042-1590","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻","Animals & Nature","Emojis for animals, nature, and weather.","🌐 Globe With Meridians","https://emojipedia.org/globe-with-meridians/","🌐","Globe With Meridians","A stylized globe, with blue meridians (longitudes) and latitude. Depicted with light-blue grid of lines on a white, blue, or empty circle.
May be used as a symbol of the internet or world wide web, global communications, international affairs, connectivity and networks, time zones, coordinates, or the world more generally.
May appear as an icon on Apple devices to change (language) keyboards.
See also 🌎 Globe Showing Americas, 🌍 Globe Showing Europe-Africa, and 🌏 Globe Showing Asia-Australia.

Globe With Meridians was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","🌐 Internet
🌐 World Wide Web
🌐 WWW","Globe With Meridians","null","U+1F310",":globe_with_meridians:","📶 Antenna Bars
👥 Busts in Silhouette
🖥 Desktop Computer
🌎 Globe Showing Americas
🌏 Globe Showing Asia-Australia
🌍 Globe Showing Europe-Africa
🔆 Bright Button
🔗 Link
🔅 Dim Button
🕰 Mantelpiece Clock
📱 Mobile Phone
💻 Laptop
📡 Satellite Antenna
🗾 Map of Japan
🕸 Spider Web
📞 Telephone Receiver
🗺 World Map"
"1573610747-1002","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣","Symbols","Heart emojis, clocks, arrows, signs and shapes.","👁️‍🗨️ Eye in Speech Bubble","https://emojipedia.org/eye-in-speech-bubble/","👁️‍🗨️","Eye in Speech Bubble","A speech bubble showing an eye inside. When using text-to-speech on Apple platforms, this emoji is read aloud as: ""Eye in speech bubble representing anti-bullying campaign"". This emoji was released in conjunction with the Ad Council for the I Am A Witness campaign.
The Eye in Speech Bubble emoji is a sequence of the 👁 Eye and 🗨 Left Speech Bubble emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.


Eye in Speech Bubble was added to Emoji 2.0 in 2015.","👁️‍🗨️ I Am A Witness","I Am a Witness","null","U+1F441","null","👁️‍🗨️ on Instagram
👁️‍🗨️ on Twitter
👁️‍🗨️ on Wikipedia
👁️‍🗨️ on Yelp
👁️‍🗨️ on YouTube
👁️‍🗨️ on Google Trends
👁️‍🗨️ on Nomad List"
"1573611345-1282","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚄 High-Speed Train","https://emojipedia.org/high-speed-train/","🚄","High-Speed Train","A high speed train, designed to cover long distances at high speed.

High-Speed Train was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","null","High-Speed Train","null","U+1F684",":bullettrain_side:","🔆 Bright Button
👠 High-Heeled Shoe
🚅 Bullet Train
🛅 Left Luggage
🚈 Light Rail
🚇 Metro
🚞 Mountain Railway
💺 Seat"
